CVEGEO,NOM_ENT,NOM_MUN,POB_TOTAL,ALTITUD,AREA,UMBRAL12H,PORCENTA_1,agua_AR,agua_FC,agua_PT,avg_impact,avg_agricultura,avg_construccion,avg_manufactura,semaforo
1001,AGUASCALIENTES,AGUASCALIENTES,948990,1918.046195652174,116635.9248,57.807,4.829056,91,226,24,0.9007017,21,24.19375116409015,44.97978027380682,Rojo
1002,AGUASCALIENTES,ASIENTOS,51536,2030.520325203252,54337.4266,60.0597,4.274541,0,54,9,0.90402305,0,4.5,2.083333333333333,Verde
1003,AGUASCALIENTES,CALVILLO,58250,1827.143813,92335.78323,60.71769,1.158972,7,43,4,0.7871563,3,2.333333333333333,2.8354978354978355,Rojo
1004,AGUASCALIENTES,COSIO,17000,1967.6565656565656,12838.35445,52.22142,3.153082,10,13,3,0.91240746,0,0,1,Rojo
1005,AGUASCALIENTES,JESUS MARIA,129929,1936.513071895425,49989.50916,58.46688,3.357602,34,42,16,0.79812616,3,23.113636363636363,80.62222222222222,Rojo
1006,AGUASCALIENTES,PABELLON DE ARTEAGA,47646,1912.2410071942445,19573.59465,58.23558,6.728276,2,19,2,0.8367456,0,6,12.722222222222223,
1007,AGUASCALIENTES,RINCON DE ROMOS,57369,1937.9515306122448,37229.51631,55.72476,4.713892,0,25,5,0.78627414,3,1,6.223809523809524,Rojo
1008,AGUASCALIENTES,SAN JOSE DE GRACIA,9552,2332.169491525424,85779.05742,62.05662,2.964067,8,11,3,0.6518073,0,0,3.1764705882352944,Verde
1009,AGUASCALIENTES,TEPEZALA,22485,1948.772727272728,22966.10123,55.62216,2.539697,9,18,1,0.87165445,0,0,1.75,
1010,AGUASCALIENTES,EL LLANO,20853,2021.929460580913,50405.09887,60.75162,7.226412,10,23,2,0.9068764,0,0,3.7142857142857135,Rojo
1011,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,61997,1917.7251908396947,13777.01763,57.86937,3.39193,9,27,7,0.8916353,0,6,61.97021276595744,
2001,BAJA CALIFORNIA,ENSENADA,443807,370.80183946488296,1366282.828,42.69654,2.691739,0,34,6,0.40640348,366,12.214285714285714,37.10435621957361,Verde
2002,BAJA CALIFORNIA,MEXICALI,1049792,21.917402826855124,1007826.692,40.91463,20.532707,2,41,13,0.65762603,26,32.00757808499744,97.55847953216372,Verde
2003,BAJA CALIFORNIA,TECATE,108440,782.1862549800796,290051.8701,44.35569,2.684796,0,18,2,0.49279034,0,8.875,55.84480519480519,Verde
2004,BAJA CALIFORNIA,TIJUANA,1922523,225.0192307692308,109093.7295,46.50156,4.022357,2,5,15,0.67630374,1,22.405775075987844,56.497417623580375,Rojo
2005,BAJA CALIFORNIA,PLAYAS DE ROSARITO,126890,120.58171745152356,51314.53829,48.67578,1.004158,0,0,4,0.6706668,0,5.666666666666667,43.25509436799759,Verde
2006,BAJA CALIFORNIA,SAN QUINTIN,117568,145.45197740112994,3409724.494,48.67578,1.004158,0,27,0,0.3589839,47,3.5,2.0294117647058827,
3001,BAJA CALIFORNIA SUR,COMONDU,73021,115.86100386100388,1816806.506,60.16743,8.809036,0,49,9,0.40205956,273,5.857142857142857,6.4230769230769225,Verde
