,index,CVEGEO,NOM_ENT,NOM_MUN,POB_TOTAL,ALTITUD,AREA,UMBRAL12H,PORCENTA_1,urban,agua_AR,agua_FC,agua_PA,agua_PT,agua_PP,avg_impact,std_impact
0,0,01001,Aguascalientes,Aguascalientes,948990,1918.046195652174,116635.924756,57.807,4.829056,3.0,91.0,226.0,2.0,24.0,0.0,0.9007017,0.10373313
1,1,01002,Aguascalientes,Asientos,51536,2030.520325203252,54337.4266016,60.0597,4.274541,0.0,0.0,54.0,1.0,9.0,0.0,0.90402305,0.08795001
2,2,01003,Aguascalientes,Calvillo,58250,1827.14381270903,92335.7832268,60.71769,1.158972,0.0,7.0,43.0,1.0,4.0,0.0,0.7871563,0.18807812
3,3,01004,Aguascalientes,Cosío,17000,1967.6565656565656,12838.3544533,52.22142,3.153082,0.0,10.0,13.0,1.0,3.0,0.0,0.91240746,0.04053238
4,4,01005,Aguascalientes,Jesús María,129929,1936.513071895425,49989.5091565,58.46688,3.357602,3.0,34.0,42.0,1.0,16.0,0.0,0.79812616,0.1701127
5,5,01006,Aguascalientes,Pabellón de Arteaga,47646,1912.2410071942445,19573.5946469,58.23558,6.728276,0.0,2.0,19.0,1.0,2.0,0.0,0.8367456,0.15112095
6,6,01007,Aguascalientes,Rincón de Romos,57369,1937.9515306122448,37229.5163108,55.72476,4.713892,0.0,0.0,25.0,1.0,5.0,0.0,0.78627414,0.18629332
7,7,01008,Aguascalientes,San José de Gracia,9552,2332.169491525424,85779.0574241,62.05662,2.964067,0.0,8.0,11.0,1.0,3.0,1.0,0.6518073,0.1973124
8,8,01009,Aguascalientes,Tepezalá,22485,1948.7727272727273,22966.1012278,55.62216,2.539697,0.0,9.0,18.0,1.0,1.0,1.0,0.87165445,0.14258888
9,9,01010,Aguascalientes,El Llano,20853,2021.929460580913,50405.0988747,60.75162,7.226412,0.0,10.0,23.0,1.0,2.0,0.0,0.9068764,0.13558954
10,10,01011,Aguascalientes,San Francisco de los Romo,61997,1917.7251908396947,13777.0176284,57.86937,3.39193,3.0,9.0,27.0,1.0,7.0,0.0,0.8916353,0.08327708
11,11,02001,Baja California,Ensenada,443807,370.80183946488296,1366282.82797,42.69654,2.691739,2.0,0.0,34.0,1.0,6.0,1.0,0.40640348,0.26089478
12,12,02002,Baja California,Mexicali,1049792,21.917402826855124,1007826.69239,40.91463,20.532707,2.0,2.0,41.0,1.0,13.0,21.0,0.65762603,0.3213013
13,13,02003,Baja California,Tecate,108440,782.1862549800796,290051.870143,44.35569,2.684796,0.0,0.0,18.0,1.0,2.0,3.0,0.49279034,0.2583204
14,14,02004,Baja California,Tijuana,1922523,225.01923076923077,109093.72945,46.50156,4.022357,3.0,2.0,5.0,1.0,15.0,4.0,0.67630374,0.34724656
15,15,02005,Baja California,Playas de Rosarito,126890,120.58171745152355,51314.5382882,48.67578,1.004158,3.0,0.0,0.0,0.0,4.0,0.0,0.6706668,0.33897555
16,16,02006,Baja California,San Quintín,117568,145.45197740112994,3409724.4944,,,0.0,0.0,27.0,0.0,0.0,1.0,0.3589839,0.18145835
17,17,02007,Baja California,San Felipe,,80.43122676579925,1106925.58671,,,0.0,0.0,0.0,0.0,0.0,0.0,0.31279647,0.18241912
18,18,03001,Baja California Sur,Comondú,73021,115.86100386100387,1816806.50568,60.16743,8.809036,0.0,0.0,49.0,1.0,9.0,3.0,0.40205956,0.21999387
19,19,03002,Baja California Sur,Mulegé,64022,257.66169154228857,3068167.98712,53.31492,6.931213,0.0,0.0,19.0,1.0,7.0,0.0,0.35216933,0.18790326
20,20,03003,Baja California Sur,La Paz,292241,209.79930555555555,1562239.37998,84.12912,2.608345,2.0,2.0,63.0,1.0,6.0,9.0,0.41651377,0.19046842
21,21,03008,Baja California Sur,Los Cabos,351111,229.32178770949722,371557.755484,135.567,2.065533,2.0,0.0,28.0,1.0,10.0,2.0,0.4880164,0.19649027
22,22,03009,Baja California Sur,Loreto,18052,189.22705314009661,458626.076549,82.62729,0.999171,0.0,0.0,7.0,1.0,2.0,0.0,0.3498158,0.17985365
23,23,04001,Campeche,Calkiní,59232,9.865168539325843,171669.022462,108.2286,6.406529,0.0,0.0,48.0,1.0,0.0,0.0,0.64452547,0.2370563
24,24,04002,Campeche,Campeche,294077,32.60919540229885,321707.798265,113.6394,18.28679,2.0,1.0,44.0,1.0,26.0,0.0,0.8150405,0.11934684
25,25,04003,Campeche,Carmen,248845,14.013523131672597,854260.277732,136.9692,16.630501,0.0,0.0,57.0,1.0,7.0,0.0,0.630261,0.2792369
26,26,04004,Campeche,Champotón,78170,24.962418300653596,653939.952838,110.9637,16.056415,0.0,0.0,78.0,1.0,0.0,0.0,0.689962,0.20283082
27,27,04005,Campeche,Hecelchakán,31917,30.098591549295776,126551.450903,107.9505,10.441802,0.0,0.0,35.0,1.0,0.0,0.0,0.7883355,0.14297564
28,28,04006,Campeche,Hopelchén,42140,111.16525423728814,773400.506291,102.3048,17.368717,0.0,0.0,50.0,1.0,0.0,0.0,0.7527519,0.13987169
29,29,04007,Campeche,Palizada,8683,4.1301775147929,218141.139616,161.2098,33.178263,0.0,0.0,13.0,1.0,0.0,1.0,0.53756714,0.2583839
30,30,04008,Campeche,Tenabo,11452,19.53846153846154,105095.318073,111.9249,13.608334,0.0,0.0,15.0,1.0,0.0,0.0,0.75202924,0.19244012
31,31,04009,Campeche,Escárcega,59923,78.00584795321637,476683.154393,112.1679,15.366443,0.0,0.0,61.0,1.0,0.0,0.0,0.5916799,0.25486308
