iter	MultiClass
0	1.050136168
1	1.01562033
2	0.9886669563
3	0.9647866323
4	0.9454826608
5	0.9256121159
6	0.9094475487
7	0.8947712682
8	0.8794869846
9	0.8670217021
10	0.8541237823
11	0.8458835106
12	0.835286448
13	0.8289860825
14	0.8230868097
15	0.8164761239
16	0.8091899524
17	0.8034472484
18	0.7970048696
19	0.793386574
20	0.789396046
21	0.784883259
22	0.7806707181
23	0.7770029773
24	0.7720174939
25	0.7685591715
26	0.7622580327
27	0.7601731143
28	0.7579673068
29	0.7534566192
30	0.7490257275
31	0.7456542151
32	0.7416785161
33	0.7402854297
34	0.7371645063
35	0.7327358857
36	0.728618101
37	0.7241763483
38	0.7203956584
39	0.7169106351
40	0.7132143494
41	0.7110127479
42	0.7082427067
43	0.7059093986
44	0.7029660039
45	0.7007251167
46	0.6967225817
47	0.6931881793
48	0.6910352051
49	0.6866549451
50	0.6829054031
51	0.6800997922
52	0.6758976433
53	0.6723735199
54	0.6701649157
55	0.6684481978
56	0.6671635588
57	0.6632940266
58	0.6621925941
59	0.659978669
60	0.6574683288
61	0.654166997
62	0.6520233669
63	0.6488822055
64	0.645655826
65	0.6439115231
66	0.6405860006
67	0.6376913501
68	0.6360969762
69	0.6332883596
70	0.6302525715
71	0.6276469666
72	0.6247337786
73	0.6218212008
74	0.6176595095
75	0.6146045189
76	0.6121985859
77	0.6104524519
78	0.6085454907
79	0.6063010822
80	0.6039304427
81	0.6006091098
82	0.5991077826
83	0.5966068532
84	0.5943004642
85	0.593106337
86	0.591226099
87	0.5895089413
88	0.5871813776
89	0.5854274922
90	0.5846442737
91	0.5814281958
92	0.5787392092
93	0.5767984431
94	0.5753331103
95	0.5734662818
96	0.5716676218
97	0.5697865873
98	0.5668621938
99	0.5648071347
100	0.563812543
101	0.560612919
102	0.5593857574
103	0.5574517686
104	0.5565143239
105	0.5545096456
106	0.5519053432
107	0.5497105962
108	0.546861961
109	0.5448282212
110	0.5430594663
111	0.5409708238
112	0.5378367835
113	0.5361315884
114	0.5353334031
115	0.5330753498
116	0.5303135619
117	0.5282861357
118	0.5262330267
119	0.5249792303
120	0.5235904813
121	0.5206367016
122	0.5194042264
123	0.5173948763
124	0.5161719653
125	0.5140824894
126	0.5126717756
127	0.5116501676
128	0.509740411
129	0.5078264624
130	0.5059846937
131	0.5046073985
132	0.501727085
133	0.5001338037
134	0.4985170291
135	0.4967241117
136	0.4948109185
137	0.4924452974
138	0.490465381
139	0.4877410365
140	0.4860917027
141	0.4841402307
142	0.4819725014
143	0.4806752823
144	0.4790775218
145	0.4777541509
146	0.4762050649
147	0.4750517145
148	0.4738625116
149	0.4721700313
150	0.4706982373
151	0.4698358022
152	0.468829813
153	0.46699829
154	0.4657996546
155	0.4643145967
156	0.4625402523
157	0.4606827756
158	0.4594612554
159	0.4576929776
160	0.4555167368
161	0.4544129588
162	0.4528214596
163	0.4515086215
164	0.4494969006
165	0.4488498589
166	0.4478264448
167	0.4464855092
168	0.4450734857
169	0.4439934196
170	0.4430160429
171	0.4410096071
172	0.4395468378
173	0.4376010311
174	0.4362231252
175	0.4350906783
176	0.4337135242
177	0.431841263
178	0.4303388779
179	0.429651837
180	0.4287710227
181	0.4275907572
182	0.4249931196
183	0.4245636306
184	0.4233942678
185	0.4212745021
186	0.4200386501
187	0.419160175
188	0.4176454235
189	0.4167840523
